"","score","text"
"54",-3,"Thanks so much @ICE for yet another time-wasting delay at useless, $$$-wasting #SanOnofre checkpoint. #immigration #drugs"
"55",0,"Ya I know I have a problem but I don't  fuckin care anymore this is my life so I'll make the best of it.
#weed
#alcohol
#drugs"
"56",-1,"#book #collection #goaskalice #theburnjournals #teen #youth #adolescence #lifestory #abuse #drugs #sex… http://t.co/iPxHTV7oZx"
"57",-1,"Is everyone looking at me or am I just paranoid coz of the #drugs? Lol"
"58",1,"RT @KarnikaKohli: Stunned and disgusted.

High on #drugs liquor, men prey on infant, young daughters in #Punjab http://t.co/ttn1qCOC0n #Sex…"
"59",0,"#drugs http://t.co/SDsDsPCVSB"
"60",1,"RT @KarnikaKohli: Stunned and disgusted.

High on #drugs liquor, men prey on infant, young daughters in #Punjab http://t.co/ttn1qCOC0n #Sex…"
"61",0,"#drugs http://t.co/h3sjNfYNhJ"
"62",-1,"RT @jvonbargen: Review: GOLGOTHA CONNECTION by @CalebPirtle http://t.co/jy1ik4rOUV Riveting read!! #Christian #thriller #drugs #mystery #su…"
"63",0,"So stoned it's like I'm from bedrock #stoner #gethigh #trippy #drugs #weed #stonernation #goodvibes "
"64",0,"@anna_preyes we put that good sugar  aye 420 lmao #drugs #maryjane #sugar #cocaine #blow"
"65",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"66",-2,"#Drugs #Dragons #Imaginary #Simpsons #Funny http://t.co/eYy8OqvgiN"
"67",-1,"@IrrawaddyNews @MizzimaNews  #Myanmar #drugs #moneylaundering makes #Neighbours worry. Ref:Law:15/2014 of #Myanmar  http://t.co/4nlIjM6SgH"
"68",0,"Oliver the king #Cat #Drugs #Lenguita #Miau #Tongue  https://t.co/Eu33EwhIMA"
"69",0,"NEW! Music • NEW! Visuals by @SwampClick #HPSC #Drugs #GhettoGospel  http://t.co/gd3VaxLqyh"
"70",0,"NEW! Music • NEW! Visuals by @SwampClick #HPSC #Drugs #GhettoGospel  http://t.co/1ZQ3TbZG7H"
"71",0,"NEW! Music • NEW! Visuals by @SwampClick #HPSC #Drugs #GhettoGospel  http://t.co/33VvWF2MK9"
"72",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"73",0,"Out for my mourning walk with Marley the Mutt &amp; it's raining but who cares, it's Friday #sex #drugs &amp; #RockNRoll !! LOL"
"74",-2,"RT @__AndresCruz: Dope. 
#Designer #Drugs #Dope #Ratchet #Cristal #XX http://t.co/0XWVt5JOIX"
"75",-1,"#tbt  The world is a horrible place to live without serious drugs. So I'll write a song about it. #drugs #booze #RockNRoll"
"76",0,"You're gone and I got to stay high, all the time!!! #high #wrrd #music #drugs #rave #psycho… http://t.co/I3KLfa3ITb"
"77",0,"#Photo: Self-called #peaceful #protestors in #Venezuela were confiscated #shotguns and #illegal #drugs.... http://t.co/O79BBlmB2l"
"78",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"79",-1,"I love this book too damn much #drugs #crime #publichealth http://t.co/VnpRQbFItC"
"80",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"81",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"82",0,"@3rdEyeSociety_ ""Trippin' Balls"" http://t.co/3o6ocCv3sv #drugs"
"83",0,"I'm high . . .  
high up in the skies with the lord
amen 
:V
#drugs #DontDoDrugs #DontDoDrugsKids #meblabbering"
"84",1,"Stunned and disgusted.

High on #drugs liquor, men prey on infant, young daughters in #Punjab http://t.co/ttn1qCOC0n #SexualHarassment"
"85",0,"@FATFNews @OECD  #Myanmar #drugs #moneylaundering at its peak after ""Law:15/2014 of Myanmar"" allows #moneylaundering https://t.co/fhrL2xxdcy"
"86",1,"#MAJEKFASHEK SAYS HE NEVER DID #DRUGS At least he was sane enuf to say that at the time!"
"87",-1,"RT @ProblyDrinking: I died lol #TumblrFunnies #Drugs obviously involved... http://t.co/yTGeDixmws"
"88",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"89",-1,"RT @SMORGJR: Other then selling #drugs lol “@GBR_Riko: @LyfeTafari @SMORGJR a way to make unbelievable amounts of money”"
"90",-1,"The Economist | #Antibiotic resistance: The #drugs don’t work
#smartmedicine #personalizedmedicine http://t.co/PIbDzrKjia"
"91",-1,"I died lol #TumblrFunnies #Drugs obviously involved... http://t.co/yTGeDixmws"
"92",-1,"Other then selling #drugs lol “@GBR_Riko: @LyfeTafari @SMORGJR a way to make unbelievable amounts of money”"
"93",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"94",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"95",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"96",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"97",1,"I take MY #Drugs because I ENJOY taking Drugs. My #Australian PM #TonyAbbott does the same. End #Cannabis Prohibition &amp; #WarBetweenDrugs."
"98",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"99",-2,"Bouddhiste dope ! #shit #drugs http://t.co/Yw45pjjySP"
"100",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"101",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"102",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"103",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"104",0,"RT @PolicyMic: Report backed by 5 Nobel Prize-winning economists calls for the end to the war on #drugs http://t.co/ibUCtX65Yz http://t.co/…"
"105",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"106",0,"RT @kenziekbitch: Lets all do drugs #trippy #DrugFamily #TheFamily #drugs #shrooms #acid #bonghits"
"107",0,"RT @kenziekbitch: Lets all do drugs #trippy #DrugFamily #TheFamily #drugs #shrooms #acid #bonghits"
"108",0,"RT @OsPando: #Twitter shows more #Drug-safety data than #FDA
http://t.co/RtwRXhX5nG

#Advertising #Drugs #DrugFamily #DrugsInc #DrugAbuse #…"
"109",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"110",0,"RT @kenziekbitch: Lets all do drugs #trippy #DrugFamily #TheFamily #drugs #shrooms #acid #bonghits"
"111",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"112",0,"RT @kenziekbitch: Lets all do drugs #trippy #DrugFamily #TheFamily #drugs #shrooms #acid #bonghits"
"113",0,"Lets all do drugs #trippy #DrugFamily #TheFamily #drugs #shrooms #acid #bonghits"
"114",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"115",-1,"cont. for last psychic reading client: I am guided he doesn't want you to get hurt physically or emotionally. http://t.co/xkdTIw2cRL #drugs"
"116",1,"http://t.co/e0onA96EA1 NEW VIDEO!!! @TheRealBigCuz ""AINT TO BE TRUSTED"" #TeamEPent @EPEntertainmen1 #DRUGS"
"117",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"118",0,"#Female #assassins in the favela #drugs and #kidnap in Sao Paulo http://t.co/0qJVRxsa8O #KINDLE"
"119",0,"cont. for last psychic reading client: You have gone out of your way for him to get on the straight and narrow http://t.co/xkdTIw2cRL #drugs"
"120",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"121",-1,"Catnip is one hell of a drug. #Catnip #Tripping #Drugs #kitty #Cat #Towelie #Fluffy http://t.co/cGDEiaAjs7"
"122",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"123",0,"#funfact : If you bring a gun to the #pharmacy , you can get #drugs without a doctor's prescription."
"124",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"125",-2,"Don't let your family member die from #depression 

#MentalHealthAwarenessWeek 

Don't let them start #drugs #truth"
"126",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"127",0,"Mom forgets child is at school, reports her missing, triggers police search. Mom then arrested for #drugs. http://t.co/6Q4Nem0An2"
"128",0,"#sex #drugs &amp; #hiphop &lt;&gt;&lt;&gt;[][]&lt;&gt;&lt;&gt; every one wants in."
"129",0,"The Use Of #Triple #Antiretroviral #Drugs During Feeding Protects The Child From HIV http://t.co/0wZ0C9PDpk"
"130",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"131",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"132",1,"MASCHINE , PIPE AND COFFEE......LETS WORK : )
#BEATS #MASCHINE #SAMPLING #DRUGS #MUZIK !!!!"
"133",0,"Official selfie #no #filter, #no #emotion, #no #makeup, #no #drugs, #just #official, #plz #give #me… http://t.co/rgqwp96fKk"
"134",-2,"RT @LizzyTamblyn: Your child's in trouble with #drugs- Can a #parent ""rescue"" w/o #enabling? The Rescuer's Plight http://t.co/i8snGN8IWg #a…"
"135",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"136",0,"#drugs #DrugFam #DrugFamily"
"137",0,"#DEA Makes Big Moves Against Synthetic #drugs 
http://t.co/yopvVVbHtV"
"138",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"139",-1,"“@LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/whIdJfTR4N”"
"140",0,"RT @KEYLO_RED: “@SwaygoTSG: @KEYLO_RED #drugs or #uglybitches” 
#Drugs #HBK"
"141",1,"RT @WMGs_DreadHead: Follow the homie @1Whitei10buy10 and check out his work http://t.co/r12iRbOENK #Drugs"
"142",1,"I love u all &lt;3 #selfharm #drugs #alcohol http://t.co/HIc9pUsGPJ"
"143",1,"Follow the homie @1Whitei10buy10 and check out his work http://t.co/r12iRbOENK #Drugs"
"144",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"145",0,"@UNODC @YuryFedotov #Myanmar allows #moneylaundering in Landed Property(Law:15/2014)means more #drugs into #thailand http://t.co/iDrH5QAZx9"
"146",-1,"The hottest shows on #TV this season is @BlackBoxABC... #MentalIllness #Drugs #Sex #Scandal #Jealousy #Narcissists http://t.co/50gDVN8ywt"
"147",-1,"Do drugs with me? #drugs #weed #marijuana #stoner #boner #cats #morecats #staymetal #pastel… http://t.co/YpnHRthd0O"
"148",-1,"RT @Humberto777: One of the hottest shows on the #TV this season... #BlackBox #MentalIllness #Drugs #Sex #Scandal #Jealousy #Narcissists #R…"
"149",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"150",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"151",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"152",0,"RT @GChernick: @MasonIsGoood the life of two hot messes #sex #drugs #rocknroll"
"153",0,"@MasonIsGoood the life of two hot messes #sex #drugs #rocknroll"
"154",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"155",-1,"One of the hottest shows on the #TV this season... #BlackBox #MentalIllness #Drugs #Sex #Scandal #Jealousy #Narcissists #Red @BlackBoxABC"
"156",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"157",2,"RT @ItsMissesJones_: ""@Cannabis_God42O:Quote this with a pic of your favorite drug.&amp; rt and fav this.#DrugFamily #CannabisClub #drugs  ht…"
"158",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"159",-2,"Your child's in trouble with #drugs- Can a #parent ""rescue"" w/o #enabling? The Rescuer's Plight http://t.co/i8snGN8IWg #addiction #family"
"160",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"161",0,"#Jamiroquai #sex #drugs &amp; #hotTequilabrown http://t.co/ocajpboEuR"
"162",0,"listening to some screamo to stay up for mollys birthday #INeedYeezus #earsrotting #drugs"
"163",0,"Book Reviews Suggestion: #Bookreviews: #Convictions: A Prosecutor's Battles Against #Mafia Killers, #Drugs, and... http://t.co/cjJ8z7evaF"
"164",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"165",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"166",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"167",-1,"RT @LifeExtension: Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"168",-1,"Please RT this if you think it's completely absurd! #drugs #BigPharma http://t.co/Q8GHHcHzWH"
"169",1,"RT @RanFan1975: I would LOVE just ONE story published by the media in Whitney that does NOT mention #Drugs anywhere. Smmfh.  Pat DONE THAT!…"
"170",0,"3times police come to my car in one night #drugs but not once did they search #innocentface #hugsnotdrugs #banter"
"171",0,"RT @ShtaynkolBianca: Tiffany just asked me who sang the song about rats in their pants #drugs"
"172",0,"Get'n 2 It Da Otha Nite #Drugs #DollarSigns #DiffirentType http://t.co/56qqT86sK8"
"173",-1,"#Healthcare #opportunity: Finally, A Use For #Tobacco That Doesn't Kill You: Making #Drugs http://t.co/3hy5FgtiX5"
"174",0,"@Boehme_NYJ hooked #drugs"
"175",0,"@cassaradealopez #dontcallmepeanut #jonnycraig #miserableatbest #threecheersforfiveyears #DRUGS ALL THE JAMS"
"176",0,"#sex #drugs #rockandroll http://t.co/So1Xg27Ri0"
"177",-2,"Theres a mysterious smell coming from the dorm hallway ... #drugs"
"178",-1,"@AntonelloSantos @_gatchh @clarconcepcion @catesgonzales_ #yolo #swag #2cool4skool #drugs #weed #smokeallday #fuckme http://t.co/TyACi0sq7U"
"179",2,"RT @beludiada: @MariaMilalo #tatto #girl #cool #infinit #love #music #colours #unicorns #drugs #putas #vamolayaya"
"180",2,"@MariaMilalo #tatto #girl #cool #infinit #love #music #colours #unicorns #drugs #putas #vamolayaya"
"181",0,"#Drugs"
"182",0,"High on #drugs-#liquor, men prey on infant, young daughters in Punjab http://t.co/50wS7CrzXp #htpunjab http://t.co/i7Q5orSGPf"
"183",0,"#drink #drugs http://t.co/htp3VhUW6Q"
"184",0,"RT @studioLonline: Check out my latest contribution to @NewsOK ""Perspective: The New Sober"" http://t.co/PpGsbF2MMs #addiction #drugabuse #s…"
"185",0,"Tiffany just asked me who sang the song about rats in their pants #drugs"
"186",-1,"RT @BeverlyPills: Don't be #bored ! Watch our #sitcom ! #socialite #pills #dealing #drugs all at http://t.co/qv0Zehpb80 "
"187",0,"#drugs"
"188",0,"Been so #loopy and out of if today since I left the hospital. #drugs are an amazing thing lol. Sorry in advance. http://t.co/LbV701Mqre"
"189",0,"Check out my latest contribution to @NewsOK ""Perspective: The New Sober"" http://t.co/PpGsbF2MMs #addiction #drugabuse #substanceabuse #drugs"
"190",-1,"RT @BeverlyPills: Don't be #bored ! Watch our #sitcom ! #socialite #pills #dealing #drugs all at http://t.co/qv0Zehpb80 "
"191",0,"@Steven_Bonnell #drugs"
"192",0,"Droga pa. #pills #drugs #yesiminclass #takingnotesandtakingdrugs http://t.co/SqTzFOpdIr"
"193",1,"http://t.co/PZ00jQuiHc More drug news. Do you agree with the conclusion? #benefits #drugs http://t.co/fqas4XLseQ"
"194",0,"U.S. drug agents make wide crackdown on synthetic #drugs http://t.co/Dj7sg01jts via @Reuters"
"195",1,"http://t.co/lxxx5XKsIU More drug news. Do you agree with the conclusion? #benefits #drugs"
"196",0,"@kirstlisamarie #drugs"
"197",0,"@Nikkibball24 #drugs"
"198",0,"At http://t.co/CHnL3vl4pk -- I dont know if this is true but one can hope..... #drugs #drug #instagood #instagr... http://t.co/vZ6CyJAAFX"
"199",-1,"RT @UreapWatUsow: MT @MkSpeaksHisMind #Gosnell's unlicensed &amp;untrained staff treated patients &amp; adminstered #drugs w/o supervision."" https:…"
"200",0,"#comedy #comics #acid #trippytheclown #Drugs #marijuana http://t.co/cf3lLf81hR"
"201",0,"This song &lt;3 
#DRUGS #destroyrebuilduntilgodshows #ifyouthinkthissongisaboutyouitprobablyis http://t.co/I4dvpjJ1zT"
"202",-1,"Memoirs of An #addict's mom: http://t.co/6PfpqMVMT9 #addiction #parenting #drugs"
"203",1,"#DrugFree Solution: Our comprehensive #EAP offers immediate assistance to employees 24/7. http://t.co/8R0EoaPRSf / #drugs #workplace"
"204",1,"I would LOVE just ONE story published by the media in Whitney that does NOT mention #Drugs anywhere. Smmfh.  Pat DONE THAT! SMH"
"205",-1,"Diabetes  #creepy #drugs #funnyvine https://t.co/olFJ7PCgCR"
"206",0,"Put down the drugs, come get a hug.#hugsnotdrugs #drugs"
"207",-1,"#Philadelphia's Kensington Avenue: Street of lost souls and forgotten dreams. @MailOnline 2012 post. http://t.co/9Bed6qdd8J #drugs"
"208",-1,"Hi I’m Kelly I smoke a blunt every morning &amp; drink an espresso right before I go to bed at night. #drugs #chemicals #bizarroworld #opposite"
"209",0,"RT @larlegal: #College Students Abusing #Drugs for Academic Purposes http://t.co/V2174IpSk0"
"210",0,"Current mood  #DRUGS #IfYouThinkThisSongIsAboutYouItProbablyIs http://t.co/XZuvd7BpkU"
"211",0,"#Drugs &amp; #Money"
"212",-1,"RT @HealthyNews2day: #Prescription #Drugs in Prison: Huge Profits for Pharmaceutical Companies at Taxpayer Expense http://t.co/tW5vi55Qlg #…"
"213",0,"JOHNNY FOOTBALL TO THE DOLPHINS PLS #SEX #DRUGS #MONEY #ASS #PIZZA"
"214",0,"Drug Firms tactics to drive sales to treat #Kids:
Why are Children Prescribed Too Many Psychotropic #Drugs? http://t.co/RUYH6NXSfF"
"215",0,"@rachel_sny Sis I really feel like there's no book that is longer than Anna Karenia. N.N doesn't seem to be that bad. #drugs #whycantireadit"
"216",0,"#cereal #trippytheclown #evilclown #drugs #pills #marijuana http://t.co/6xqc9KGlfk"
"217",2,"alhamdulillaah... finally i found you again!!! *since years ago* ♡♡ #herbal #drugs #loved #healthy… http://t.co/9dW96mmo6M"
"218",-1,"@actnforchildren let me speak at your next event I came from a broken home here is my story http://t.co/O9RH1xh0qm #drugs #violence"
"219",1,"Sitting in my sit, thinking @ellehardytweets is a total babe right now. WHAT AN ARTICLE! http://t.co/ThiCRsHjVg YES, YES, YES #AUSPOL #DRUGS"
"220",-2,"Dope. 
#Designer #Drugs #Dope #Ratchet #Cristal #XX http://t.co/0XWVt5JOIX"
"221",-1,"Hey allergies... I got a sweet dose of murder for ya!! #meds #drugs #allergyseason http://t.co/W4WGVDNrCQ http://t.co/e27ZuermgL"
"222",-1,"Hey allergies... I got a sweet dose of murder for ya!! #meds #drugs #allergyseason http://t.co/23pjiW736M"
"223",-1,"RT @kenziekbitch: @PurpleThizzle lets all smoke #DrugFamily #Weedlyfe #drugs #BongBeauties #StonerBabes #StonerNation #HighLife ✌ ✯ ∞ http:…"
"224",0,"#crashandburn #learn #lessons #drugs #spirit #blessings #christophertyler #tyler #tylerlagunas #music… http://t.co/OUYG7a9grE"
"225",1,"Would you love if i was dead? #myown #cigarettes #zippos #LanaDelRey #drugs #pure http://t.co/ToG2Vt92z0"
"226",0,"RT @Bryana_Sarmento: Girls at my school be so trippy #swag #drugs http://t.co/4hp9LSqoUd"
"227",-1,"@PurpleThizzle lets all smoke #DrugFamily #Weedlyfe #drugs #BongBeauties #StonerBabes #StonerNation #HighLife ✌ ✯ ∞ http://t.co/ZwJKSse9TB"
"228",0,"Maybe I Will http://t.co/9vBl4sdRBS #drugs"
"229",-1,"@Kn1tt @edelhay Hell yeah. #gangsta #drugs #bitches #hoes #DegradingRapMusic"
"230",-1,"RT @metalrunner72: #Party #festa #drunk #drugs #effects #photo http://t.co/1sPyy8x6bv"
